mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.0}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.1}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.2}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.3}
mean: -0.00149, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.4}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.5}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.6}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.7}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.8}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.9}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 2.0}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.1}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.2}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.3}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.4}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.5}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.6}
mean: -0.00159, std: 0.00015, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.7}
mean: -0.00161, std: 0.00022, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.8}
mean: -0.00161, std: 0.00022, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.9}
mean: -0.00161, std: 0.00022, params: {'hidden0_num_units': 12, 'update_learning_rate': 1.0}
mean: -0.00161, std: 0.00022, params: {'hidden0_num_units': 12, 'update_learning_rate': 1.1}
mean: -0.00161, std: 0.00022, params: {'hidden0_num_units': 12, 'update_learning_rate': 1.2}
